YEAR,MONTH,STATE,FIRES,MEETING_DATE
1998,JAN,Acre,0,1998-01-01
1999,JAN,Acre,0,1999-01-01
2000,JAN,Acre,0,2000-01-01
2001,JAN,Acre,0,2001-01-01
2002,JAN,Acre,0,2002-01-01
2003,JAN,Acre,10,2003-01-01
2004,JAN,Acre,0,2004-01-01
2005,JAN,Acre,12,2005-01-01
2006,JAN,Acre,4,2006-01-01
2007,JAN,Acre,0,2007-01-01
2008,JAN,Acre,0,2008-01-01
2009,JAN,Acre,0,2009-01-01
2010,JAN,Acre,1,2010-01-01
2011,JAN,Acre,0,2011-01-01
2012,JAN,Acre,0,2012-01-01
2013,JAN,Acre,0,2013-01-01
2014,JAN,Acre,0,2014-01-01
2015,JAN,Acre,1,2015-01-01
2016,JAN,Acre,12,2016-01-01
2017,JAN,Acre,0,2017-01-01
1998,FEB,Acre,0,1998-01-01
1999,FEB,Acre,0,1999-01-01
2000,FEB,Acre,0,2000-01-01
2001,FEB,Acre,0,2001-01-01
2002,FEB,Acre,1,2002-01-01
2003,FEB,Acre,0,2003-01-01
2004,FEB,Acre,3,2004-01-01
2005,FEB,Acre,0,2005-01-01
2006,FEB,Acre,0,2006-01-01
2007,FEB,Acre,5,2007-01-01
2008,FEB,Acre,0,2008-01-01
2009,FEB,Acre,2,2009-01-01
2010,FEB,Acre,0,2010-01-01
2011,FEB,Acre,0,2011-01-01
2012,FEB,Acre,0,2012-01-01
2013,FEB,Acre,0,2013-01-01
2014,FEB,Acre,0,2014-01-01
2015,FEB,Acre,2,2015-01-01
2016,FEB,Acre,5,2016-01-01
2017,FEB,Acre,1,2017-01-01
1998,MAR,Acre,0,1998-01-01
1999,MAR,Acre,0,1999-01-01
2000,MAR,Acre,11,2000-01-01
2001,MAR,Acre,0,2001-01-01
2002,MAR,Acre,0,2002-01-01
2003,MAR,Acre,0,2003-01-01
2004,MAR,Acre,0,2004-01-01
2005,MAR,Acre,3,2005-01-01
2006,MAR,Acre,0,2006-01-01
2007,MAR,Acre,2,2007-01-01
2008,MAR,Acre,0,2008-01-01
2009,MAR,Acre,1,2009-01-01
2010,MAR,Acre,0,2010-01-01
2011,MAR,Acre,0,2011-01-01
2012,MAR,Acre,1,2012-01-01
2013,MAR,Acre,2,2013-01-01
2014,MAR,Acre,1,2014-01-01
2015,MAR,Acre,2,2015-01-01
2016,MAR,Acre,0,2016-01-01
2017,MAR,Acre,0,2017-01-01
1998,APR,Acre,0,1998-01-01
1999,APR,Acre,0,1999-01-01
2000,APR,Acre,1,2000-01-01
2001,APR,Acre,0,2001-01-01
2002,APR,Acre,0,2002-01-01
2003,APR,Acre,1,2003-01-01
2004,APR,Acre,2,2004-01-01
2005,APR,Acre,1,2005-01-01
2006,APR,Acre,0,2006-01-01
2007,APR,Acre,0,2007-01-01
2008,APR,Acre,0,2008-01-01
2009,APR,Acre,0,2009-01-01
2010,APR,Acre,3,2010-01-01
2011,APR,Acre,2,2011-01-01
2012,APR,Acre,1,2012-01-01
2013,APR,Acre,19,2013-01-01
2014,APR,Acre,7,2014-01-01
2015,APR,Acre,3,2015-01-01
2016,APR,Acre,0,2016-01-01
2017,APR,Acre,1,2017-01-01
1998,MAY,Acre,0,1998-01-01
1999,MAY,Acre,0,1999-01-01
2000,MAY,Acre,1,2000-01-01
2001,MAY,Acre,0,2001-01-01
2002,MAY,Acre,0,2002-01-01
2003,MAY,Acre,6,2003-01-01
2004,MAY,Acre,7,2004-01-01
2005,MAY,Acre,2,2005-01-01
2006,MAY,Acre,8,2006-01-01
2007,MAY,Acre,1,2007-01-01
2008,MAY,Acre,0,2008-01-01
2009,MAY,Acre,3,2009-01-01
2010,MAY,Acre,9,2010-01-01
2011,MAY,Acre,3,2011-01-01
2012,MAY,Acre,3,2012-01-01
2013,MAY,Acre,4,2013-01-01
2014,MAY,Acre,1,2014-01-01
2015,MAY,Acre,2,2015-01-01
2016,MAY,Acre,21,2016-01-01
2017,MAY,Acre,10,2017-01-01
1998,JUNE,Acre,3,1998-01-01
1999,JUNE,Acre,0,1999-01-01
2000,JUNE,Acre,1,2000-01-01
2001,JUNE,Acre,1,2001-01-01
2002,JUNE,Acre,0,2002-01-01
2003,JUNE,Acre,0,2003-01-01
2004,JUNE,Acre,5,2004-01-01
2005,JUNE,Acre,27,2005-01-01
2006,JUNE,Acre,1,2006-01-01
2007,JUNE,Acre,4,2007-01-01
2008,JUNE,Acre,0,2008-01-01
2009,JUNE,Acre,0,2009-01-01
2010,JUNE,Acre,1,2010-01-01
2011,JUNE,Acre,10,2011-01-01
2012,JUNE,Acre,7,2012-01-01
2013,JUNE,Acre,8,2013-01-01
2014,JUNE,Acre,17,2014-01-01
2015,JUNE,Acre,40,2015-01-01
2016,JUNE,Acre,87,2016-01-01
2017,JUNE,Acre,45,2017-01-01
1998,JULY,Acre,37,1998-01-01
1999,JULY,Acre,1,1999-01-01
2000,JULY,Acre,1,2000-01-01
2001,JULY,Acre,3,2001-01-01
2002,JULY,Acre,39,2002-01-01
2003,JULY,Acre,168,2003-01-01
2004,JULY,Acre,42,2004-01-01
2005,JULY,Acre,0,2005-01-01
2006,JULY,Acre,33,2006-01-01
2007,JULY,Acre,29,2007-01-01
2008,JULY,Acre,41,2008-01-01
2009,JULY,Acre,31,2009-01-01
2010,JULY,Acre,126,2010-01-01
2011,JULY,Acre,93,2011-01-01
2012,JULY,Acre,71,2012-01-01
2013,JULY,Acre,54,2013-01-01
2014,JULY,Acre,60,2014-01-01
